run_idx,transcript,elapsed_s,detected_language,language_probability
1,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.5497819330012135,en,1
2,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.253548482000042,en,1
3,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26756969900088734,en,1
4,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26861385099982726,en,1
5,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26630210900111706,en,1
6,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26801489400168066,en,1
7,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2680668009998044,en,1
8,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27078661199993803,en,1
9,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27027185000042664,en,1
10,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2822132399996917,en,1
11,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.29100725799798965,en,1
12,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.29760038099993835,en,1
13,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27492662299846415,en,1
14,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26762242099721334,en,1
15,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27749127999777556,en,1
16,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27956768100193585,en,1
17,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26989211999898544,en,1
18,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2730714479985181,en,1
19,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27203174399983254,en,1
20,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2751449630013667,en,1
21,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.273179825002444,en,1
22,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2712296130011964,en,1
23,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26449378300094395,en,1
24,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26788853499965626,en,1
25,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2728574110005866,en,1
26,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.3259048999971128,en,1
27,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2811125920015911,en,1
28,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2671866660020896,en,1
29,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2610816470005375,en,1
30,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2682403559992963,en,1
31,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2724871889986389,en,1
32,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2672459009991144,en,1
33,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2698848950021784,en,1
34,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.266141347001394,en,1
35,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2729374539994751,en,1
36,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26790053200238617,en,1
37,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2682141439981933,en,1
38,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2647117740016256,en,1
39,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.264638685999671,en,1
40,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2685355140019965,en,1
41,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.27101267599937273,en,1
42,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2693376629977138,en,1
43,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2837853589990118,en,1
44,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2656336090003606,en,1
45,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2635546159981459,en,1
46,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2590513909999572,en,1
47,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2638292139999976,en,1
48,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.26547405399833224,en,1
49,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2644706690007297,en,1
50,I need to wash my car. The car wash is only 100 meters away. Should I walk or drive?,0.2667777759997989,en,1
